mode,case,control_case,size,case_ms,control_ms,observed_extra_us,bytes_moved,byte_hops,hbm_oneway_us,hbm_roundtrip_us,riu_aggregate_us,riu_one_direction_us,lx_balanced_us,lx_single_core_us,classification
baseline,matmul_lhs_wrong_stick,matmul_control,128,0.05426071584224701,0.050473958253860474,3.7867575883865356,32768,0,0.1973975903614458,0.3947951807228916,0.0,0.0,0.01462857142857143,0.46811428571428576,hbm_or_graph_input_boundary_plausible
stage3b,matmul_lhs_wrong_stick,matmul_control,128,0.054484233260154724,0.051179900765419006,3.3043324947357178,32768,0,0.1973975903614458,0.3947951807228916,0.0,0.0,0.01462857142857143,0.46811428571428576,hbm_or_graph_input_boundary_plausible
baseline,matmul_lhs_wrong_stick,matmul_control,512,0.08237920701503754,0.06919726729393005,13.181939721107483,524288,0,3.158361445783133,6.316722891566266,0.0,0.0,0.23405714285714288,7.489828571428572,hbm_or_graph_input_boundary_plausible
stage3b,matmul_lhs_wrong_stick,matmul_control,512,0.08173659443855286,0.06633438169956207,15.402212738990784,524288,0,3.158361445783133,6.316722891566266,0.0,0.0,0.23405714285714288,7.489828571428572,hbm_or_graph_input_boundary_plausible
baseline,matmul_lhs_wrong_stick,matmul_control,1024,0.1714862883090973,0.12882985174655914,42.65643656253815,2097152,0,12.633445783132531,25.266891566265063,0.0,0.0,0.9362285714285715,29.95931428571429,hbm_or_graph_input_boundary_plausible
stage3b,matmul_lhs_wrong_stick,matmul_control,1024,0.1690797507762909,0.12758281081914902,41.496939957141876,2097152,0,12.633445783132531,25.266891566265063,0.0,0.0,0.9362285714285715,29.95931428571429,hbm_or_graph_input_boundary_plausible
baseline,matmul_lhs_wrong_stick,matmul_control,2048,0.849677249789238,0.702868215739727,146.80903404951096,8388608,0,50.533783132530125,101.06756626506025,0.0,0.0,3.744914285714286,119.83725714285715,hbm_or_graph_input_boundary_plausible
stage3b,matmul_lhs_wrong_stick,matmul_control,2048,0.8534137159585953,0.7022181525826454,151.19556337594986,8388608,0,50.533783132530125,101.06756626506025,0.0,0.0,3.744914285714286,119.83725714285715,hbm_or_graph_input_boundary_plausible
baseline,matmul_rhs_wrong_stick,matmul_control,128,0.05633942782878876,0.050473958253860474,5.865469574928284,32768,0,0.1973975903614458,0.3947951807228916,0.0,0.0,0.01462857142857143,0.46811428571428576,hbm_or_graph_input_boundary_plausible
stage3b,matmul_rhs_wrong_stick,matmul_control,128,0.05125720053911209,0.051179900765419006,0.07729977369308472,32768,0,0.1973975903614458,0.3947951807228916,0.0,0.0,0.01462857142857143,0.46811428571428576,hbm_or_graph_input_boundary_plausible
baseline,matmul_rhs_wrong_stick,matmul_control,512,0.07826648652553558,0.06919726729393005,9.06921923160553,524288,0,3.158361445783133,6.316722891566266,0.0,0.0,0.23405714285714288,7.489828571428572,hbm_or_graph_input_boundary_plausible
stage3b,matmul_rhs_wrong_stick,matmul_control,512,0.07566995918750763,0.06633438169956207,9.335577487945557,524288,0,3.158361445783133,6.316722891566266,0.0,0.0,0.23405714285714288,7.489828571428572,hbm_or_graph_input_boundary_plausible
baseline,matmul_rhs_wrong_stick,matmul_control,1024,0.17224717885255814,0.12882985174655914,43.41732710599899,2097152,0,12.633445783132531,25.266891566265063,0.0,0.0,0.9362285714285715,29.95931428571429,hbm_or_graph_input_boundary_plausible
stage3b,matmul_rhs_wrong_stick,matmul_control,1024,0.17258990556001663,0.12758281081914902,45.007094740867615,2097152,0,12.633445783132531,25.266891566265063,0.0,0.0,0.9362285714285715,29.95931428571429,hbm_or_graph_input_boundary_plausible
baseline,matmul_rhs_wrong_stick,matmul_control,2048,0.8494686335325241,0.702868215739727,146.6004177927971,8388608,0,50.533783132530125,101.06756626506025,0.0,0.0,3.744914285714286,119.83725714285715,hbm_or_graph_input_boundary_plausible
stage3b,matmul_rhs_wrong_stick,matmul_control,2048,0.8490672335028648,0.7022181525826454,146.84908092021942,8388608,0,50.533783132530125,101.06756626506025,0.0,0.0,3.744914285714286,119.83725714285715,hbm_or_graph_input_boundary_plausible
baseline,pointwise_transpose_add,pointwise_control,128,0.05394779145717621,0.05228351801633835,1.66427344083786,32768,0,0.1973975903614458,0.3947951807228916,0.0,0.0,0.01462857142857143,0.46811428571428576,hbm_or_graph_input_boundary_plausible
baseline,pointwise_transpose_add,pointwise_control,512,0.07358193397521973,0.06266310811042786,10.91882586479187,524288,0,3.158361445783133,6.316722891566266,0.0,0.0,0.23405714285714288,7.489828571428572,hbm_or_graph_input_boundary_plausible
stage3b,pointwise_transpose_add,pointwise_control,512,0.07416866719722748,0.061454251408576965,12.714415788650513,524288,0,3.158361445783133,6.316722891566266,0.0,0.0,0.23405714285714288,7.489828571428572,hbm_or_graph_input_boundary_plausible
baseline,pointwise_transpose_add,pointwise_control,1024,0.14639925211668015,0.1048557460308075,41.54350608587265,2097152,0,12.633445783132531,25.266891566265063,0.0,0.0,0.9362285714285715,29.95931428571429,hbm_or_graph_input_boundary_plausible
stage3b,pointwise_transpose_add,pointwise_control,1024,0.14542415738105774,0.10281428694725037,42.60987043380737,2097152,0,12.633445783132531,25.266891566265063,0.0,0.0,0.9362285714285715,29.95931428571429,hbm_or_graph_input_boundary_plausible
baseline,pointwise_transpose_add,pointwise_control,2048,0.41986070573329926,0.26278942823410034,157.0712774991989,8388608,0,50.533783132530125,101.06756626506025,0.0,0.0,3.744914285714286,119.83725714285715,hbm_or_graph_input_boundary_plausible
stage3b,pointwise_transpose_add,pointwise_control,2048,0.4199547693133354,0.2635931596159935,156.36160969734192,8388608,0,50.533783132530125,101.06756626506025,0.0,0.0,3.744914285714286,119.83725714285715,hbm_or_graph_input_boundary_plausible
