mode,status,family,case,boundary_model,classification,shape,size,restickify_count,bytes_moved,byte_hops,avg_hops,max_hops,source_kinds,skip_reasons,compile_run_ms,median_ms,p10_ms,p90_ms,error_type,error,hbm_oneway_us,hbm_roundtrip_us,riu_aggregate_us,riu_one_direction_us,lx_balanced_us,lx_single_core_us
baseline,ok,producer_to_matmul,adds_then_matmul_x,in_graph_computed,riu_lx_lx_poor_locality_plausible,128x128,128,2,65536,286720,4.375,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1700.621,0.091,0.087,0.094,,,0.395,0.790,0.861,1.727,0.029,0.936
stage3b,ok,producer_to_matmul,adds_then_matmul_x,in_graph_computed,riu_lx_lx_poor_locality_plausible,128x128,128,2,65536,286720,4.375,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1613.400,0.092,0.087,0.095,,,0.395,0.790,0.861,1.727,0.029,0.936
baseline,ok,producer_to_matmul,adds_then_matmul_x,in_graph_computed,riu_lx_lx_poor_locality_plausible,512x512,512,2,1048576,1376256,1.312,7,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",2489.756,0.148,0.142,0.149,,,6.317,12.633,4.133,8.291,0.468,14.980
stage3b,ok,producer_to_matmul,adds_then_matmul_x,in_graph_computed,riu_lx_lx_poor_locality_plausible,512x512,512,2,1048576,655360,0.625,3,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",2397.282,0.141,0.138,0.144,,,6.317,12.633,1.968,3.948,0.468,14.980
baseline,ok,producer_to_matmul,adds_then_matmul_x,in_graph_computed,riu_lx_lx_poor_locality_plausible,1024x1024,1024,2,4194304,11141120,2.656,15,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",2800.999,0.400,0.395,0.403,,,25.267,50.534,33.457,67.115,1.872,59.919
stage3b,ok,producer_to_matmul,adds_then_matmul_x,in_graph_computed,riu_lx_lx_poor_locality_plausible,1024x1024,1024,2,4194304,1048576,0.250,1,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",2836.751,0.405,0.398,0.411,,,25.267,50.534,3.149,6.317,1.872,59.919
baseline,ok,producer_to_matmul,adds_then_matmul_x,in_graph_computed,riu_lx_lx_poor_locality_plausible,2048x2048,2048,2,16777216,67108864,4.000,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",2786.539,1.753,1.730,1.764,,,101.068,202.135,201.528,404.270,7.490,239.675
stage3b,ok,producer_to_matmul,adds_then_matmul_x,in_graph_computed,hbm_or_graph_input_boundary_plausible,2048x2048,2048,2,16777216,0,0.000,0,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",2841.417,1.699,1.687,1.721,,,101.068,202.135,0.000,0.000,7.490,239.675
baseline,ok,producer_to_matmul,adds_then_matmul_y_long_chain,in_graph_computed,riu_lx_lx_poor_locality_plausible,128x128,128,2,65536,286720,4.375,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1694.913,0.091,0.086,0.096,,,0.395,0.790,0.861,1.727,0.029,0.936
stage3b,ok,producer_to_matmul,adds_then_matmul_y_long_chain,in_graph_computed,riu_lx_lx_poor_locality_plausible,128x128,128,2,65536,286720,4.375,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1709.013,0.095,0.089,0.101,,,0.395,0.790,0.861,1.727,0.029,0.936
