case,file,same,claude_sha,codex_sha,claude_size,codex_size
prefill_QKT_512x32x512x128_1_4_8_1,bundle.mlir,True,452bcb6af786e50ead1b45a7bc81e439f454ba0ffdff51d282b3d187f075f492,452bcb6af786e50ead1b45a7bc81e439f454ba0ffdff51d282b3d187f075f492,110,110
prefill_QKT_512x32x512x128_1_4_8_1,sdsc_0.json,True,9e8385cfec7f87077729eae279157f57121398943fffe60d793155ca60d33e7a,9e8385cfec7f87077729eae279157f57121398943fffe60d793155ca60d33e7a,36503,36503
prefill_QKT_512x32x512x128_1_4_8_1,execute_dsg.txt,False,386eaae3f02a519b81154e35a5df46cfe2b1f1e7e4a8963721be25927affd06e,805ac5c1c024439c8b8dd940b73ee218d1873c2dbd3472e3992bac66298ef95d,118,118
prefill_QKT_512x32x512x128_1_4_8_1,loadmodel_to_device_dsg.txt,True,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,18,18
prefill_QKT_512x32x512x128_1_4_8_1,loadmodel_to_spad_dsg.txt,True,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,18,18
prefill_QKT_512x32x512x128_1_4_8_1,loadprogram_to_device_dsg.txt,False,2981a7582de5f252c27e9f49289003f1679e6469922fcc0cc9f736566aa3400d,dd30fd40f6de66ce1f67933286534958d35e06327257f95a561a2e22e3977807,112,112
prefill_QKT_512x32x512x128_1_4_8_1,loadprogram_to_spad_dsg.txt,True,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,18,18
prefill_QKT_512x32x512x128_1_4_8_1,segment_size.json,False,34bc86e8803e219669703e19a666808c168cfc118a4a919342255b850728202b,c6e234e9e8478797e4be935ac8cea5fa67a988ad0c0b2548176aab9de1dd6de5,406,405
prefill_QKT_512x32x512x128_1_4_8_1,init.txt,False,28f897a2d752a3061269d6748ec8a0faa1af8e7b02e0a18db189be9d492050c2,e809da81cbf87880a6b8c3f7de6f88b2d27e1d79cc9a73a9cc261a42a9cbcf90,26214,25186
prefill_QKT_512x32x512x128_1_4_8_1,pagi.json,False,b1fc881a03b36a7b227349e4fdb1321bca6f4b15bcbb905951857a002af34316,e8b46ad9d5f6eb51db366c40be90da28e4d83718644c0821baf70ed83ed7ea60,215,215
prefill_QKT_512x32x512x128_4_1_8_1,bundle.mlir,True,452bcb6af786e50ead1b45a7bc81e439f454ba0ffdff51d282b3d187f075f492,452bcb6af786e50ead1b45a7bc81e439f454ba0ffdff51d282b3d187f075f492,110,110
prefill_QKT_512x32x512x128_4_1_8_1,sdsc_0.json,True,97279f508e648232dc443f22cd396021f818991fea6109134740eeff98d5d702,97279f508e648232dc443f22cd396021f818991fea6109134740eeff98d5d702,36461,36461
prefill_QKT_512x32x512x128_4_1_8_1,execute_dsg.txt,False,190496e420259fd68f42e667f5524f7f75a263f40329e436f878a848dc7fa0dd,615b17f2268dad38659790688d457182f2b4b7b0663b119ab92203a669362214,118,118
prefill_QKT_512x32x512x128_4_1_8_1,loadmodel_to_device_dsg.txt,True,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,18,18
prefill_QKT_512x32x512x128_4_1_8_1,loadmodel_to_spad_dsg.txt,True,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,18,18
prefill_QKT_512x32x512x128_4_1_8_1,loadprogram_to_device_dsg.txt,False,d64da80967bc24664b7bd2dc067fa1caeb461f52d934f2f0fe04ebc98d0682c3,4914a6a6cdfff10433af3943f04baf7dc0392edea01641554f8347d0d3c2c03c,111,111
prefill_QKT_512x32x512x128_4_1_8_1,loadprogram_to_spad_dsg.txt,True,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,a931679565cc1fdd937fb04238ac4ff55c3c3268e2571f5cb91d0bbda44fb129,18,18
prefill_QKT_512x32x512x128_4_1_8_1,segment_size.json,True,462807bd4289b6a6e40680e2312b1ebdc8d19eba399504842198dfb4b419e8e8,462807bd4289b6a6e40680e2312b1ebdc8d19eba399504842198dfb4b419e8e8,405,405
prefill_QKT_512x32x512x128_4_1_8_1,init.txt,False,960b40c0610bbc009b725b880b722c36034a0ff20d9f7f9aee7f76d5a5ceaa21,9ee4bec5aeba0cc4f29523df7411163772b39d777ebbc8b84cf67bd23f6e343f,17476,17476
prefill_QKT_512x32x512x128_4_1_8_1,pagi.json,False,947441d6a2bc7548e8b845e9cf8b45c55884fa2bf5f0066d0c5d9503d6de7591,c0b53d98f2083d61bc7d748357191247bfa4d0e05af6dbd5bce8b6c6dbdb33c9,215,215
decode_attnatV_32x64x128x576_1_32_1_1,bundle.mlir,True,452bcb6af786e50ead1b45a7bc81e439f454ba0ffdff51d282b3d187f075f492,452bcb6af786e50ead1b45a7bc81e439f454ba0ffdff51d282b3d187f075f492,110,110
decode_attnatV_32x64x128x576_1_32_1_1,sdsc_0.json,True,659489f46d56b03d849cdaa7ad6680894b305d2e54aa75a484ac9f7e53b57520,659489f46d56b03d849cdaa7ad6680894b305d2e54aa75a484ac9f7e53b57520,36551,36551
