json_file,root,op,cores,tensor,role,loc,layout_wkslices,address,coreIdToWkSlice,schedule
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_0.json,0_mul,mul,32,0_Tensor0,OUTPUT,hbm+lx,"layout=out,y,mb,i,x; stick=i; stick_size=[64]",-0x20..-0x1 (32 unique),i=0 mb=core_id out=0 x=0 y=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_0.json,0_mul,mul,32,1_Tensor1,OUTPUT,hbm+lx,"layout=out,y,mb,i,x; stick=i; stick_size=[64]",-0x40..-0x21 (32 unique),i=0 mb=core_id out=0 x=0 y=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_0.json,0_mul,mul,32,2_Tensor2,OUTPUT,lx,"layout=out,y,mb,i,x; stick=i; stick_size=[64]",0x0,i=0 mb=core_id out=0 x=0 y=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_1.json,1_sumnonstick,sumnonstick,32,0_Tensor0,OUTPUT,lx,"layout=mb,out,y,x,i; stick=i; stick_size=[64]",0x0,i=0 mb=core_id out=0 x=0 y=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_1.json,1_sumnonstick,sumnonstick,32,1_Tensor1,OUTPUT,lx,"layout=mb,out,y,x,i; stick=i; stick_size=[64]",0x40000,i=0 mb=core_id out=0 x=0 y=0,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_10.json,10_max,max,32,0_Tensor0,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x80000,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_10.json,10_max,max,32,1_Tensor1,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x0,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_11.json,11_sub,sub,32,0_Tensor0,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x80000,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_11.json,11_sub,sub,32,1_Tensor1,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x0,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
/home/adnan-cdx/codex-isolated/gather_restickify_clean_20260706_113236/runs/granite_s512_latest_acceptance_20260707_204801/relayout_enabled_pinned_fms/block_prefill/cache/inductor-spyre/sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_tqe8_9v8/sdsc_11.json,11_sub,sub,32,2_Tensor2,OUTPUT,lx,"layout=mb,out,x; stick=out; stick_size=[64]",0x100000,mb=0 out=0 x=core_id,"all [[-1,0,0,0]]"
