kernel,op,cores,alloc_tensor,role,component,layout_wkSlices,address,coreIdToWkSlice,schedule,json_file
sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1,identity,1,Tensor0_hbm,OUTPUT,hbm,"2, 2, 512, 64",-1,mb=0 out=0 x=0 y=0,1 cores scheduled,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_msfq6b2o/sdsc_0.json
sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1,identity,1,Tensor1_lx,OUTPUT,lx,"2, 2, 512, 64",0x0,mb=0 out=0 x=0 y=0,1 cores scheduled,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_msfq6b2o/sdsc_0.json
sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1,mul,32,Tensor0_lx,OUTPUT,lx,"2, 2, 512/32, 64, 32",0x0,i=0 mb=core_id out=0 x=0 y=0,32 cores scheduled,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_msfq6b2o/sdsc_1.json
sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1,mul,32,Tensor1_hbm,OUTPUT,hbm,"2, 32, 512/32, 64, 2","32 addrs, first=-33",i=0 mb=core_id out=0 x=0 y=0,32 cores scheduled,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_msfq6b2o/sdsc_1.json
sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1,mul,32,Tensor2_lx,OUTPUT,lx,"512/32, 2, 2, 32, 64",0x40000,i=0 mb=core_id out=0 x=0 y=0,32 cores scheduled,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_msfq6b2o/sdsc_1.json
sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1,batchmatmul,32,Tensor0_lx,INPUT,lx,"32, 128, 512/32",0xa0000,in=0 mb=0 x=core_id,32 cores scheduled,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_msfq6b2o/sdsc_10.json
sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1,batchmatmul,32,Tensor1_hbm,KERNEL,hbm,"32, 512/2, 128","2 addrs, first=-133",in=0 mb=0 out=0..1 (2) x=0..15 (16),32 cores scheduled,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_msfq6b2o/sdsc_10.json
sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1,batchmatmul,32,Tensor2_hbm,OUTPUT,hbm,"512/2, 512/16, 32","32 addrs, first=-165",in=0 mb=0 out=0..1 (2) x=0..15 (16),32 cores scheduled,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_msfq6b2o/sdsc_10.json
sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1,add,32,Tensor0_hbm,OUTPUT,hbm,"512, 512/32, 32","32 addrs, first=-197",mb=0 out=0 x=core_id,32 cores scheduled,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_msfq6b2o/sdsc_11.json
sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1,add,32,Tensor1_hbm,OUTPUT,hbm,"512, 512/32, 32","32 addrs, first=-229",mb=0 out=0 x=core_id,32 cores scheduled,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_msfq6b2o/sdsc_11.json
