idx,kernel_dir,op,hbm_allocs,lx_allocs,class_kind,communication_class,requires_staged_realization,file
2,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_2.json
19,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_19.json
36,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_36.json
53,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_53.json
70,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_70.json
87,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_87.json
104,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_104.json
121,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_121.json
138,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_138.json
155,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_155.json
172,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_172.json
189,sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za,ReStickifyOpLx,0,2,layout_allgather_restickify,all_gather,True,/home/adnan/codex-isolated/dldsc_flash_attention_20260702_112409/runs/optimized_collectives_noh2d_pyldfix_latest_20260702_115435/cache/inductor-spyre/sdsc_fused_add_amax_exp_maximum_mul_sub_sum_transpose_unsqueeze_1__n0p35za/sdsc_189.json
