operation,runner,lq,masked,variant,exit_code,wall_ms,kernel_ms,spyre_ms,transfer_ms,compiler_ms,pt_util,relayout_fired,sdsc_count,restickify_hbm,restickify_lx,explicit_lx_distributions
flash_attn_online_softmax,current,512,0,off0p2,0,15.76,0.306,1.471,1.166,3973.212,19.491,False,22,1,0,0
flash_attn_online_softmax,current,512,0,off0p6,0,16.624,0.286,1.192,0.906,3914.849,20.849,False,22,1,0,0
flash_attn_online_softmax,current,512,0,split,0,15.669,0.232,0.864,0.632,3670.617,25.685,True,22,0,1,1
flash_attn_online_softmax,current-recovered,1024,0,off0p2,0,16.84,0.439,1.222,0.783,4361.984,27.139,False,22,1,0,0
flash_attn_online_softmax,current-recovered,1024,0,off0p6,0,18.528,2.802,3.621,0.819,5446.148,4.252,False,22,1,0,0
flash_attn_online_softmax,current-recovered,1024,0,split,0,17.943,1.296,2.097,0.801,4636.552,9.194,True,22,0,1,1
flash_attn_softmax,dev,512,0,off0p2,0,15.378,0.296,1.04,0.744,2394.696,20.116,False,10,1,0,0
flash_attn_softmax,dev,512,0,off0p6,0,14.702,0.287,0.8,0.513,2270.547,20.743,False,10,1,0,0
flash_attn_softmax,dev,512,0,split,0,14.551,0.247,0.738,0.491,2067.881,24.149,True,10,0,1,1
flash_attn_softmax,dev,512,1,off0p2,0,21.484,0.329,1.046,0.717,2499.608,18.088,False,11,1,0,0
flash_attn_softmax,dev,512,1,off0p6,0,22.226,0.323,0.983,0.659,2558.574,18.417,False,11,1,0,0
flash_attn_softmax,dev,512,1,split,0,21.159,0.279,1.153,0.874,2221.065,21.347,True,11,0,1,1
flash_attn_softmax,dev,1024,0,off0p2,0,16.398,0.43,1.085,0.654,2259.721,27.698,False,10,1,0,0
flash_attn_softmax,dev,1024,0,off0p6,0,19.445,3.207,3.865,0.658,3785.413,3.716,False,10,1,0,0
flash_attn_softmax,dev,1024,0,split,0,17.134,1.279,1.845,0.566,2547.236,9.314,True,10,0,1,1
flash_attn_softmax,dev,1024,1,off0p2,0,29.014,0.491,1.366,0.875,2488.406,24.278,False,11,1,0,0
flash_attn_softmax,dev,1024,1,off0p6,0,31.9,3.933,4.765,0.832,4263.306,3.03,False,11,1,0,0
flash_attn_softmax,dev,1024,1,split,0,29.948,1.158,1.947,0.79,2558.703,10.293,True,11,0,1,1
flash_attn_stable_softmax,cdx,512,0,off0p2,0,16.57,0.245,1.003,0.758,2747.059,24.343,False,11,1,0,0
flash_attn_stable_softmax,cdx,512,0,off0p6,0,16.42,0.236,1.043,0.807,2700.549,25.267,False,11,1,0,0
flash_attn_stable_softmax,cdx,512,0,split,0,17.017,0.191,1.182,0.991,2473.452,31.163,True,11,0,1,1
flash_attn_stable_softmax,cdx,512,1,off0p2,0,23.144,0.28,1.28,1.0,2833.754,21.241,False,12,1,0,0
flash_attn_stable_softmax,cdx,512,1,off0p6,0,23.714,0.274,1.343,1.069,2938.905,21.725,False,12,1,0,0
flash_attn_stable_softmax,cdx,512,1,split,0,23.663,0.225,1.16,0.935,2706.674,26.484,True,12,0,1,1
flash_attn_stable_softmax,cdx,1024,0,off0p2,0,18.063,0.33,1.153,0.823,2808.253,36.125,False,11,1,0,0
flash_attn_stable_softmax,cdx,1024,0,off0p6,0,20.857,3.198,4.088,0.89,4450.208,3.726,False,11,1,0,0
flash_attn_stable_softmax,cdx,1024,0,split,0,18.693,1.18,1.871,0.692,3129.775,10.098,True,11,0,1,1
flash_attn_stable_softmax,cdx,1024,1,off0p2,0,31.923,0.383,1.596,1.213,3020.224,31.118,False,12,1,0,0
flash_attn_stable_softmax,cdx,1024,1,off0p6,0,33.627,3.932,5.111,1.179,5005.039,3.031,False,12,1,0,0
flash_attn_stable_softmax,cdx,1024,1,split,0,32.176,1.051,2.263,1.213,3123.248,11.341,True,12,0,1,1
