M,K,N,fp16_kernel_mean_us,fp8_baseline_kernel_mean_us,fp8_weipreload0_kernel_mean_us,fp16_effective_tflops,fp8_baseline_effective_tflops,fp8_weipreload0_effective_tflops,fp8_baseline_over_fp16,fp8_weipreload0_over_fp16,treatment_over_baseline
1,4096,4096,232.14485,112.2558,112.97735,0.14454092778711222,0.29891045273384537,0.29700140780430767,2.067998713652212,2.0547910709536024,0.9936133216082692
2,4096,4096,235.0384,112.80519999999999,112.0791,0.28552297837289564,0.594909312691259,0.5987634090566395,2.0835777074106514,2.0970760828736132,1.0064784603016976
4,4096,4096,235.89415,115.39179999999999,117.41635000000001,0.5689743810942323,1.1631478839917568,1.14309232061804,2.0442886756251313,2.0090400527694823,0.9827575120500678
8,4096,4096,259.90255,124.06855,125.03074999999998,1.0328311746075596,2.1636059742779294,2.146955496947751,2.0948302369939844,2.0787090375767567,0.9923042931438868
16,4096,4096,253.71880000000002,138.73955,137.78064999999998,2.1160076115762805,3.869631348811496,3.8965624853707697,1.8287416962214451,1.8414690306657724,1.0069596129790361
32,4096,4096,250.90755,131.85174999999998,129.8836,4.279432101584827,8.143553832239618,8.266954596269274,1.9029519896398799,1.9317877699724983,1.0151531833118268
64,4096,4096,224.36165,138.4483,138.94535000000002,9.571527255214962,15.51108715672204,15.455599255390695,1.6205446365177472,1.6147474528654608,0.9964226942463348
128,4096,4096,253.92424999999997,188.97415,159.7305,16.91436440592027,22.727803225996784,26.88883648395266,1.343698331226784,1.5897042205464826,1.1830811898792029
256,4096,4096,279.26059999999995,273.7535,175.85525,30.759565051425092,31.37835531600509,48.846620115123095,1.0201170030702804,1.5880140058371868,1.5566979092179503
512,4096,4096,349.6366,414.814,220.79285,49.1363581043861,41.41583742110922,77.80989821001903,0.8428756020770755,1.583550373121231,1.87874743226513
1024,4096,4096,604.87825,782.26595,398.99525,56.80438727628246,43.92334648849282,86.11565768765418,0.7732386281161797,1.516003636634772,1.9605896310795679
2048,4096,4096,1142.8036,1665.7357,767.70245,60.13235934503531,41.25473010874414,89.51316585742302,0.6860653824013017,1.4886022572938251,2.1697673362902514
