M,K,N,variant,mode,dt_opt,kernel_name,kernel_mean_us,kernel_p05_us,kernel_p50_us,kernel_p95_us,kernel_stdev_us,effective_matmul_tflops,correctness_relative_l2,correctness_max_abs,result_path
1,4096,4096,fp16,fp16,autopilot=1,fp16_bmm,232.14485,228.66815,232.224,235.89509999999999,2.542405041957008,0.14454092778711222,0.019733848050236702,0.1142578125,m1_k4096_n4096/fp16/profile/result.json
1,4096,4096,fp8_baseline,fp8,autopilot=1,fp8_scaled_bmm-Qfp8,112.2558,110.15255,112.135,114.52795,1.4623812448411517,0.29891045273384537,0.01318336557596922,0.0771484375,m1_k4096_n4096/fp8_baseline/profile/result.json
1,4096,4096,fp8_weipreload0,fp8,"autopilot=1,weipreload=0",fp8_scaled_bmm-Qfp8,112.97735,110.9188,112.616,114.7051,1.589351416044989,0.29700140780430767,0.01318336557596922,0.0771484375,m1_k4096_n4096/fp8_weipreload0/profile/result.json
2,4096,4096,fp16,fp16,autopilot=1,fp16_bmm,235.0384,232.61010000000002,234.70350000000002,237.89715,1.7517265588105098,0.28552297837289564,0.020290633663535118,0.125,m2_k4096_n4096/fp16/profile/result.json
2,4096,4096,fp8_baseline,fp8,autopilot=1,fp8_scaled_bmm-Qfp8,112.80519999999999,110.83224999999999,112.674,115.2495,1.4626966300566047,0.594909312691259,0.01424336712807417,0.08837890625,m2_k4096_n4096/fp8_baseline/profile/result.json
2,4096,4096,fp8_weipreload0,fp8,"autopilot=1,weipreload=0",fp8_scaled_bmm-Qfp8,112.0791,109.8519,112.0985,113.76700000000001,1.3141440239903222,0.5987634090566395,0.01424336712807417,0.08837890625,m2_k4096_n4096/fp8_weipreload0/profile/result.json
4,4096,4096,fp16,fp16,autopilot=1,fp16_bmm,235.89415,232.9514,236.006,238.14165,1.6712776478837348,0.5689743810942323,0.02059650793671608,0.14453125,m4_k4096_n4096/fp16/profile/result.json
4,4096,4096,fp8_baseline,fp8,autopilot=1,fp8_scaled_bmm-Qfp8,115.39179999999999,114.11070000000001,114.97,116.80565,1.0177097404414832,1.1631478839917568,0.014824097976088524,0.09765625,m4_k4096_n4096/fp8_baseline/profile/result.json
4,4096,4096,fp8_weipreload0,fp8,"autopilot=1,weipreload=0",fp8_scaled_bmm-Qfp8,117.41635000000001,115.71925,117.1555,120.2149,1.4214329047238146,1.14309232061804,0.014824097976088524,0.09765625,m4_k4096_n4096/fp8_weipreload0/profile/result.json
8,4096,4096,fp16,fp16,autopilot=1,fp16_bmm,259.90255,255.1866,259.662,267.08419999999995,4.00653519397076,1.0328311746075596,0.02070397138595581,0.14453125,m8_k4096_n4096/fp16/profile/result.json
8,4096,4096,fp8_baseline,fp8,autopilot=1,fp8_scaled_bmm-Qfp8,124.06855,122.23490000000001,124.132,125.49295000000001,1.2649957135354881,2.1636059742779294,0.014802769757807255,0.1015625,m8_k4096_n4096/fp8_baseline/profile/result.json
8,4096,4096,fp8_weipreload0,fp8,"autopilot=1,weipreload=0",fp8_scaled_bmm-Qfp8,125.03074999999998,122.843,125.25,126.75775,1.5077773769429814,2.146955496947751,0.014802769757807255,0.1015625,m8_k4096_n4096/fp8_weipreload0/profile/result.json
16,4096,4096,fp16,fp16,autopilot=1,fp16_bmm,253.71880000000002,250.4094,253.7575,257.56995,2.132976758577452,2.1160076115762805,0.020606843754649162,0.14453125,m16_k4096_n4096/fp16/profile/result.json
16,4096,4096,fp8_baseline,fp8,autopilot=1,fp8_scaled_bmm-Qfp8,138.73955,137.73875,138.541,139.8192,0.8441759279726159,3.869631348811496,0.01473159994930029,0.1015625,m16_k4096_n4096/fp8_baseline/profile/result.json
16,4096,4096,fp8_weipreload0,fp8,"autopilot=1,weipreload=0",fp8_scaled_bmm-Qfp8,137.78064999999998,135.95985,137.61700000000002,139.8012,1.2644932113613545,3.8965624853707697,0.01473159994930029,0.1015625,m16_k4096_n4096/fp8_weipreload0/profile/result.json
32,4096,4096,fp16,fp16,autopilot=1,fp16_bmm,250.90755,246.69875,250.45,257.4145,3.8086648644899155,4.279432101584827,0.020609570667147636,0.14453125,m32_k4096_n4096/fp16/profile/result.json
32,4096,4096,fp8_baseline,fp8,autopilot=1,fp8_scaled_bmm-Qfp8,131.85174999999998,130.03495,131.7585,134.4981,1.8386395964923286,8.143553832239618,0.014650648459792137,0.12890625,m32_k4096_n4096/fp8_baseline/profile/result.json
32,4096,4096,fp8_weipreload0,fp8,"autopilot=1,weipreload=0",fp8_scaled_bmm-Qfp8,129.8836,127.739,129.79500000000002,132.4885,1.6237016967411229,8.266954596269274,0.014650648459792137,0.12890625,m32_k4096_n4096/fp8_weipreload0/profile/result.json
64,4096,4096,fp16,fp16,autopilot=1,fp16_bmm,224.36165,219.6678,224.46800000000002,228.12175000000002,2.7251250531421762,9.571527255214962,0.02060611918568611,0.14453125,m64_k4096_n4096/fp16/profile/result.json
64,4096,4096,fp8_baseline,fp8,autopilot=1,fp8_scaled_bmm-Qfp8,138.4483,134.98884999999999,137.6735,145.3987,3.276190889946496,15.51108715672204,0.014624549075961113,0.12890625,m64_k4096_n4096/fp8_baseline/profile/result.json
64,4096,4096,fp8_weipreload0,fp8,"autopilot=1,weipreload=0",fp8_scaled_bmm-Qfp8,138.94535000000002,136.29240000000001,138.844,141.38145,1.887406526789714,15.455599255390695,0.014624549075961113,0.12890625,m64_k4096_n4096/fp8_weipreload0/profile/result.json
128,4096,4096,fp16,fp16,autopilot=1,fp16_bmm,253.92424999999997,251.61180000000002,253.168,258.8788,2.376743545605827,16.91436440592027,0.02059575356543064,0.14453125,m128_k4096_n4096/fp16/profile/result.json
128,4096,4096,fp8_baseline,fp8,autopilot=1,fp8_scaled_bmm-Qfp8,188.97415,183.52595000000002,190.08800000000002,192.19755,3.1808421472606065,22.727803225996784,0.01463206298649311,0.12890625,m128_k4096_n4096/fp8_baseline/profile/result.json
128,4096,4096,fp8_weipreload0,fp8,"autopilot=1,weipreload=0",fp8_scaled_bmm-Qfp8,159.7305,156.50580000000002,160.2265,161.90845,2.180755337516169,26.88883648395266,0.01463206298649311,0.12890625,m128_k4096_n4096/fp8_weipreload0/profile/result.json
256,4096,4096,fp16,fp16,autopilot=1,fp16_bmm,279.26059999999995,277.12115,278.8485,281.1736,1.4192320903628821,30.759565051425092,0.020588980987668037,0.14453125,m256_k4096_n4096/fp16/profile/result.json
256,4096,4096,fp8_baseline,fp8,autopilot=1,fp8_scaled_bmm-Qfp8,273.7535,269.2512,273.68399999999997,278.13075000000003,2.999255337404169,31.37835531600509,0.014630063436925411,0.12890625,m256_k4096_n4096/fp8_baseline/profile/result.json
256,4096,4096,fp8_weipreload0,fp8,"autopilot=1,weipreload=0",fp8_scaled_bmm-Qfp8,175.85525,172.98335,176.30700000000002,179.03674999999998,2.281094886579456,48.846620115123095,0.014630063436925411,0.12890625,m256_k4096_n4096/fp8_weipreload0/profile/result.json
512,4096,4096,fp16,fp16,autopilot=1,fp16_bmm,349.6366,347.97335000000004,349.5915,351.02205000000004,0.9844472881561019,49.1363581043861,0.010830164887011051,0.09375,m512_k4096_n4096/fp16/profile/result.json
512,4096,4096,fp8_baseline,fp8,autopilot=1,fp8_scaled_bmm-Qfp8,414.814,413.94545,414.661,416.2609,0.6877835491826744,41.41583742110922,0.014628077857196331,0.12890625,m512_k4096_n4096/fp8_baseline/profile/result.json
512,4096,4096,fp8_weipreload0,fp8,"autopilot=1,weipreload=0",fp8_scaled_bmm-Qfp8,220.79285,220.01005,220.83749999999998,221.50225,0.5788922520415045,77.80989821001903,0.014628077857196331,0.12890625,m512_k4096_n4096/fp8_weipreload0/profile/result.json
1024,4096,4096,fp16,fp16,autopilot=1,fp16_bmm,604.87825,602.58325,604.819,607.30245,1.338452440025613,56.80438727628246,0.010831066407263279,0.09375,m1024_k4096_n4096/fp16/profile/result.json
