M	variant	mode	dt_opt	exit_status	result
1	fp16	fp16	autopilot=1	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m1_k4096_n4096/fp16/profile/result.json
1	fp8_baseline	fp8	autopilot=1	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m1_k4096_n4096/fp8_baseline/profile/result.json
1	fp8_weipreload0	fp8	autopilot=1,weipreload=0	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m1_k4096_n4096/fp8_weipreload0/profile/result.json
2	fp8_weipreload0	fp8	autopilot=1,weipreload=0	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m2_k4096_n4096/fp8_weipreload0/profile/result.json
2	fp16	fp16	autopilot=1	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m2_k4096_n4096/fp16/profile/result.json
2	fp8_baseline	fp8	autopilot=1	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m2_k4096_n4096/fp8_baseline/profile/result.json
4	fp8_baseline	fp8	autopilot=1	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m4_k4096_n4096/fp8_baseline/profile/result.json
4	fp8_weipreload0	fp8	autopilot=1,weipreload=0	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m4_k4096_n4096/fp8_weipreload0/profile/result.json
4	fp16	fp16	autopilot=1	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m4_k4096_n4096/fp16/profile/result.json
8	fp16	fp16	autopilot=1	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m8_k4096_n4096/fp16/profile/result.json
8	fp8_baseline	fp8	autopilot=1	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m8_k4096_n4096/fp8_baseline/profile/result.json
8	fp8_weipreload0	fp8	autopilot=1,weipreload=0	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m8_k4096_n4096/fp8_weipreload0/profile/result.json
16	fp8_weipreload0	fp8	autopilot=1,weipreload=0	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m16_k4096_n4096/fp8_weipreload0/profile/result.json
16	fp16	fp16	autopilot=1	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m16_k4096_n4096/fp16/profile/result.json
16	fp8_baseline	fp8	autopilot=1	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m16_k4096_n4096/fp8_baseline/profile/result.json
32	fp8_baseline	fp8	autopilot=1	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m32_k4096_n4096/fp8_baseline/profile/result.json
32	fp8_weipreload0	fp8	autopilot=1,weipreload=0	0	/home/adnan/codex-isolated/fp8_qo_planner_hack_20260729/runs/qo_weipreload_poc_20260729_070515/m32_k4096_n4096/fp8_weipreload0/profile/result.json
