variant	M	K	N	stock_fp8_over_fp16	qfp8_grid	qfp8_cores_corelets	bmm_grid	bmm_cores_corelets	bnprec1_grid	bnprec1_cores_corelets	bnprec2_grid	bnprec2_cores_corelets	relayout_insertions	lx_inplace	dws_full_graph_factor	dws_subgraphs
stock	1	4096	4096	2.055632	OUT32xMB1	32x1	OUT32xMB1	32x2	OUT32xMB1	32x2	OUT32xMB1	32x2	1	1	1	0
stock	2	4096	4096	2.042299	OUT32xMB1	32x2	OUT32xMB1	32x2	OUT32xMB1	32x2	OUT32xMB1	32x2	1	1	1	0
stock	4	4096	4096	2.016786	OUT16xMB2	32x2	OUT32xMB1	32x2	OUT32xMB1	32x2	OUT32xMB1	32x2	1	1	1	0
stock	8	4096	4096	2.095055	OUT8xMB4	32x2	OUT32xMB1	32x2	OUT32xMB1	32x2	OUT32xMB1	32x2	1	1	1	0
stock	16	4096	4096	1.788611	OUT4xMB8	32x2	OUT32xMB1	32x2	OUT32xMB1	32x2	OUT32xMB1	32x2	1	1	1	0
stock	32	4096	4096	1.876413	OUT2xMB16	32x2	OUT16xMB2	32x2	OUT16xMB2	32x2	OUT16xMB2	32x2	1	1	1	0
stock	64	4096	4096	1.595269	OUT1xMB32	32x2	OUT8xMB4	32x2	OUT8xMB4	32x2	OUT8xMB4	32x2	1	1	1	0
stock	128	4096	4096	1.338256	OUT1xMB32	32x2	OUT4xMB8	32x2	OUT4xMB8	32x2	OUT1xMB1	1x2	2	1	1	0
stock	256	4096	4096	1.023627	OUT1xMB32	32x2	OUT4xMB8	32x2	OUT4xMB8	32x2	OUT1xMB1	1x2	1	0	1	0
stock	512	4096	4096	0.843601	OUT1xMB32	32x2	OUT4xMB8	32x2	OUT4xMB8	32x2	OUT1xMB1	1x2	1	0	1	0
stock	1024	4096	4096	0.772448	OUT1xMB32	32x2	OUT2xMB16	32x2	OUT2xMB16	32x2	OUT1xMB1	1x2	1	0	1	0
stock	2048	4096	4096	0.685908	OUT1xMB32	32x2	OUT1xMB32	32x2	OUT1xMB32	32x2	OUT1xMB1	1x2	0	0	1	0
weipreload_0	512	4096	4096		OUT1xMB32	32x2	OUT4xMB8	32x2	OUT4xMB8	32x2	OUT4xMB8	32x2	1	1	1	0
