M,K,N,mode,graph_contract,warmups,repetitions,kernel_name,kernel_event_count,kernel_mean_us,kernel_p50_us,kernel_p05_us,kernel_p95_us,kernel_stdev_us,kernel_min_us,kernel_max_us,effective_matmul_tflops,correctness_passed,correctness_relative_l2,correctness_max_abs,benchmark_sha256,wrapper_sha256,result_path
1,4096,1024,fp16,FP16 PrimaryInput -> BatchMatMul,5,20,fp16_bmm,20,62.772149999999996,62.882999999999996,61.12735,64.7281,1.1622428985643052,60.184,64.996,0.13363582416724615,True,0.019726060330867767,0.1142578125,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m1_k4096_n1024/fp16/profile/result.json
1,4096,1024,fp8_scaled,FP16 PrimaryInput -> Identity(output FP8) -> BatchScaledMatmul,5,20,fp8_scaled_bmm-Qfp8,20,30.8162,30.71,29.9428,31.59045,0.5838305089303699,29.749,32.074,0.2722142249855595,True,0.013189326040446758,0.0771484375,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m1_k4096_n1024/fp8/profile/result.json
2,4096,1024,fp16,FP16 PrimaryInput -> BatchMatMul,5,20,fp16_bmm,20,64.59909999999999,64.364,62.33475,67.14385,1.7035948956313094,61.893,68.585,0.2597128442965924,True,0.02029363065958023,0.125,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m2_k4096_n1024/fp16/profile/result.json
2,4096,1024,fp8_scaled,FP16 PrimaryInput -> Identity(output FP8) -> BatchScaledMatmul,5,20,fp8_scaled_bmm-Qfp8,20,30.905649999999998,30.843,29.827099999999998,31.81075,0.6579260296768293,29.772,32.357,0.5428527146330849,True,0.014248587191104889,0.08837890625,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m2_k4096_n1024/fp8/profile/result.json
4,4096,1024,fp16,FP16 PrimaryInput -> BatchMatMul,5,20,fp16_bmm,20,64.94715,64.969,63.70295,66.57180000000001,1.1035214101373756,62.41,66.891,0.5166421005386688,True,0.02060597948729992,0.14453125,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m4_k4096_n1024/fp16/profile/result.json
4,4096,1024,fp8_scaled,FP16 PrimaryInput -> Identity(output FP8) -> BatchScaledMatmul,5,20,fp8_scaled_bmm-Qfp8,20,31.574900000000003,31.619,30.877100000000002,32.525200000000005,0.5658193779122913,30.841,33.08,1.0626932151804123,True,0.01482989639043808,0.09765625,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m4_k4096_n1024/fp8/profile/result.json
8,4096,1024,fp16,FP16 PrimaryInput -> BatchMatMul,5,20,fp16_bmm,20,65.54195,65.5015,62.84275,67.8969,1.6008442336861881,62.819,68.275,1.0239070396898475,True,0.020709242671728134,0.14453125,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m8_k4096_n1024/fp16/profile/result.json
8,4096,1024,fp8_scaled,FP16 PrimaryInput -> Identity(output FP8) -> BatchScaledMatmul,5,20,fp8_scaled_bmm-Qfp8,20,33.96275,33.898,33.11515,34.578300000000006,0.6047593584054299,32.985,35.8,1.975954950644456,True,0.014805814251303673,0.1015625,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m8_k4096_n1024/fp8/profile/result.json
16,4096,1024,fp16,FP16 PrimaryInput -> BatchMatMul,5,20,fp16_bmm,20,71.5111,71.7155,69.57815,73.3528,1.3640377715097434,67.966,73.501,1.876879645257869,True,0.020603790879249573,0.14453125,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m16_k4096_n1024/fp16/profile/result.json
16,4096,1024,fp8_scaled,FP16 PrimaryInput -> Identity(output FP8) -> BatchScaledMatmul,5,20,fp8_scaled_bmm-Qfp8,20,38.265699999999995,38.355000000000004,37.3643,39.0497,0.6062563380026815,37.237,39.709,3.507520520988771,True,0.014733103103935719,0.1015625,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m16_k4096_n1024/fp8/profile/result.json
32,4096,1024,fp16,FP16 PrimaryInput -> BatchMatMul,5,20,fp16_bmm,20,73.66345,73.694,71.58319999999999,75.48355000000001,1.385381477959658,71.15,76.577,3.6440793364959148,True,0.020609667524695396,0.14453125,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m32_k4096_n1024/fp16/profile/result.json
32,4096,1024,fp8_scaled,FP16 PrimaryInput -> Identity(output FP8) -> BatchScaledMatmul,5,20,fp8_scaled_bmm-Qfp8,20,45.5302,45.601,44.779250000000005,46.18605,0.5686408171661332,44.081,46.605,5.895767117210116,True,0.014653561636805534,0.12890625,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m32_k4096_n1024/fp8/profile/result.json
64,4096,1024,fp16,FP16 PrimaryInput -> BatchMatMul,5,20,fp16_bmm,20,66.05475,66.143,64.6945,68.04005000000001,1.1376478446430827,64.21,68.231,8.127665489612783,True,0.020604748278856277,0.14453125,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m64_k4096_n1024/fp16/profile/result.json
64,4096,1024,fp8_scaled,FP16 PrimaryInput -> Identity(output FP8) -> BatchScaledMatmul,5,20,fp8_scaled_bmm-Qfp8,20,47.24015,47.29900000000001,45.3914,48.33405,0.8218751521913007,45.342,48.867,11.364716496454816,True,0.014626658521592617,0.12890625,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m64_k4096_n1024/fp8/profile/result.json
128,4096,1024,fp16,FP16 PrimaryInput -> BatchMatMul,5,20,fp16_bmm,20,69.9641,69.755,68.8987,71.72489999999999,0.9392750227814272,68.893,72.616,15.347039753244879,True,0.020593954250216484,0.14453125,ed81a8dba13dbd15557510e9343132f13139fe2a2696528f69c5ef6007e641b2,a5873a426ba376ca2f97172567d09e6402923f3281a40ecfb53e7949bdb174f9,m128_k4096_n1024/fp16/profile/result.json
