projection_family,k,n,occurrences_per_layer,m,fp16_kernel_us,baseline_fp8_kernel_us,optimized_fp8_kernel_us,fp16_tflops,baseline_fp8_tflops,optimized_fp8_tflops,baseline_fp8_over_fp16,optimized_fp8_over_fp16,optimized_over_baseline,selected_grid,relayout_max_source_bytes,weight_data_divisor,fp8_relative_l2_error
K/V,4096,1024,2,512,97.795300,159.957450,96.276300,43.917932,26.850686,44.610847,0.611383,1.015778,1.661442,8x4,4194304,8,0.047358416
K/V,4096,1024,2,1024,193.517350,299.333000,173.729850,44.388447,28.696918,49.444207,0.646495,1.113898,1.722980,8x4,4194304,8,0.047246315
K/V,4096,1024,2,2048,327.259050,638.734950,401.683300,52.496239,26.896711,42.769687,0.512355,0.814719,1.590146,8x4,4194304,8,0.047229376
Q/O,4096,4096,2,512,318.476250,287.600100,226.468450,53.943957,59.735268,75.859879,1.107358,1.406272,1.269935,8x4,4194304,8,0.047189000
Q/O,4096,4096,2,1024,652.590150,579.533350,428.786600,52.651329,59.288630,80.132491,1.126061,1.521946,1.351566,8x4,4194304,8,0.047222000
Q/O,4096,4096,2,2048,1329.636450,1163.697950,927.843850,51.682907,59.052675,74.063623,1.142596,1.433039,1.254196,8x4,4194304,8,0.047233000
gate/up,4096,12800,2,512,996.369450,669.444900,601.798300,53.882715,80.196430,89.211105,1.488352,1.655653,1.112407,8x4,4194304,8,0.047268599
gate/up,4096,12800,2,1024,2003.170300,1258.696050,1133.155000,53.602124,85.305887,94.756836,1.591465,1.767781,1.110789,8x4,4194304,8,0.047275938
gate/up,4096,12800,2,2048,4024.238900,4972.745700,4100.445700,53.363722,43.185069,52.371957,0.809259,0.981415,1.212733,8x4,16777216,8,0.047289372
down,12800,4096,1,512,1141.845150,799.189850,596.360150,47.017839,67.176893,90.024612,1.428753,1.914691,1.340113,4x8,4194304,32,0.047808703
down,12800,4096,1,1024,1704.439600,1584.632050,1154.393000,62.996766,67.759694,93.013543,1.075606,1.476481,1.372697,4x8,4194304,32,0.047845289
down,12800,4096,1,2048,3802.402400,5862.552000,4822.532800,56.477022,36.630526,44.530203,0.648592,0.788466,1.215658,4x8,4194304,32,0.047863897
