M,fp16_us,fp16_tflops,old_fp8_us,old_fp8_tflops,automatic_fp8_us,automatic_fp8_tflops,raw_fp8_us,raw_fp8_tflops,m_split,n_split,relative_l2,passed
1,234.902400,0.142844,121.511100,0.276143,122.502750,0.273908,117.704000,0.285075,1,32,0.002427382,true
2,231.903450,0.289383,120.822500,0.555433,121.739800,0.551248,117.798650,0.569691,1,32,0.002426204,true
4,246.734400,0.543977,136.174100,0.985633,127.522800,1.052500,123.540350,1.086428,2,16,0.002452523,true
8,241.638300,1.110898,132.178850,2.030850,130.031850,2.064382,122.975150,2.182843,4,8,0.002456009,true
16,242.084400,2.217701,131.356300,4.087135,132.185600,4.061493,125.242200,4.286661,4,8,0.002465890,true
32,227.841700,4.712666,150.703050,7.124884,142.979800,7.509745,125.041300,8.587097,4,8,0.001775715,true
64,227.592000,9.435673,171.731600,12.504883,156.331100,13.736765,121.003000,17.747359,4,8,0.002465467,true
128,234.157400,18.342223,608.185600,7.061935,157.386150,27.289360,127.146100,33.779780,4,8,0.002473187,true
256,257.231300,33.393816,537.217300,15.989683,225.623000,38.072070,149.089150,57.616095,4,8,0.001773304,true
512,317.017900,54.192111,578.086350,29.718517,322.960600,53.194938,184.323850,93.204809,4,8,0.002475576,true
1024,647.393150,53.073991,808.789550,42.482916,576.898800,59.559386,354.871050,96.823165,8,4,0.002475085,true
2048,1331.095500,51.626256,1865.618500,36.834689,1215.801350,56.521961,748.441200,91.816801,8,4,0.002473627,true
