M,m_split,n_split,kernel_us,tflops,relative_l2,passed
2,1,32,121.482200,0.552417,0.002426204,true
4,1,32,138.470800,0.969285,0.002452523,true
4,2,16,129.694400,1.034877,0.002452523,true
8,1,32,138.963200,1.931702,0.002456009,true
8,2,16,133.619000,2.008962,0.002456009,true
8,4,8,131.532800,2.040825,0.002456009,true
16,1,32,132.201300,4.061011,0.002465890,true
16,2,16,134.973900,3.977591,0.001768139,true
16,4,8,130.370700,4.118034,0.002465890,true
16,8,4,148.827800,3.607329,0.002465890,true
32,1,32,152.119300,7.058551,0.002458226,true
32,2,16,146.208800,7.343893,0.001775715,true
32,4,8,141.391500,7.594104,0.001775715,true
32,8,4,160.306000,6.698076,0.002458226,true
32,16,2,238.903200,4.494464,0.002458226,true
64,1,32,175.175900,12.259013,0.001763763,true
64,2,16,169.429000,12.674829,0.001763763,true
64,4,8,158.639100,13.536913,0.002465467,true
64,8,4,173.378900,12.386073,0.001763763,true
64,16,2,262.101300,8.193335,0.002458764,true
64,32,1,606.507400,3.540738,0.002458764,true
128,1,32,182.781000,23.497887,0.001771602,true
128,2,16,173.901000,24.697772,0.001771602,true
128,4,8,169.962400,25.270103,0.002473187,true
128,8,4,194.023000,22.136382,0.001771602,true
128,16,2,262.303400,16.374044,0.001771602,true
128,32,1,610.891000,7.030661,0.002456386,true
256,1,32,227.967000,37.680605,0.002476010,true
256,2,16,213.386800,40.255229,0.002476010,true
256,4,8,218.032400,39.397514,0.001773304,true
256,8,4,252.783100,33.981443,0.001773304,true
256,16,2,296.081300,29.012081,0.002476010,true
256,32,1,537.496600,15.981375,0.001773304,true
512,1,32,468.145500,36.697713,0.002475576,true
512,2,16,443.865100,38.705159,0.002475576,true
512,4,8,334.036500,51.431114,0.002475576,true
512,8,4,365.977700,46.942393,0.001770460,true
512,16,2,407.880300,42.119880,0.002475576,true
512,32,1,592.449500,28.998031,0.002475576,true
1024,1,32,860.588900,39.925844,0.002475085,true
1024,2,16,851.612400,40.346686,0.002475085,true
1024,4,8,599.542600,57.309920,0.002475085,true
1024,8,4,577.394100,59.508295,0.002475085,true
1024,16,2,674.647900,50.929883,0.001772425,true
1024,32,1,814.742300,42.172523,0.002475085,true
2048,1,32,1750.300300,39.261535,0.002473627,true
2048,2,16,1760.135400,39.042154,0.002473627,true
2048,4,8,1218.944700,56.376205,0.002473627,true
2048,8,4,1213.481800,56.630002,0.002473627,true
2048,16,2,1247.514200,55.085126,0.002473627,true
2048,32,1,1819.962300,37.758736,0.001771876,true
