projection,M,K,N,control_kernel_us,epilogue_kernel_us,speedup,latency_reduction_pct,control_relative_l2,epilogue_relative_l2,correctness_passed
kv,512,4096,1024,119.4202,103.6553,1.1521,13.20,0.00177025,0.00177025,true
kv,1024,4096,1024,223.0226,184.2679,1.2103,17.38,0.00177064,0.00177064,true
kv,2048,4096,1024,443.0145,385.1254,1.1503,13.07,0.00247185,0.00176984,true
q_o,512,4096,4096,286.2584,227.2069,1.2599,20.63,0.00247558,0.00247558,true
q_o,1024,4096,4096,557.8749,433.3297,1.2874,22.32,0.00247508,0.00247508,true
q_o,2048,4096,4096,1203.9887,884.5878,1.3611,26.53,0.00247363,0.00247363,true
gate_up,512,4096,12800,1166.1494,646.0346,1.8051,44.60,0.00177165,0.00247577,true
gate_up,1024,4096,12800,1903.1654,1304.1853,1.4593,31.47,0.00177209,0.00246744,true
gate_up,2048,4096,12800,4643.0810,3597.8176,1.2905,22.51,0.00245910,0.00245910,true
down,512,12800,4096,817.7121,649.8396,1.2583,20.53,0.00336124,0.00463362,true
down,1024,12800,4096,1264.4654,1300.2438,0.9725,-2.83,0.00463303,0.00463303,true
down,2048,12800,4096,4933.2474,4809.8678,1.0257,2.50,0.00463261,0.00463261,true
