json_file,root,op,cores,tensor,role,loc,layout_wkslices,address,coreIdToWkSlice,schedule
/tmp/lx_relayout_three_way_profile_20260622_081800/stcdp_enabled/branch-baseline/inductor-cache/inductor-spyre/sdsc_fused_linear_mul_silu_split_with_sizes_0_u7fv9_a0/sdsc_0.json,0_ReStickifyOpHBM,ReStickifyOpHBM,25,0_Tensor0,OUTPUT,hbm+lx,"layout=mb,out; stick=out; stick_size=[64]",0x400000000..0x400300000 (25 unique),mb=core_id out=0,"all [[-1,0,0,0]]"
/tmp/lx_relayout_three_way_profile_20260622_081800/stcdp_enabled/branch-baseline/inductor-cache/inductor-spyre/sdsc_fused_linear_mul_silu_split_with_sizes_0_u7fv9_a0/sdsc_0.json,0_ReStickifyOpHBM,ReStickifyOpHBM,25,1_Tensor1,KERNEL,hbm+lx,"layout=out,mb; stick=mb; stick_size=[64]",0x0..0xc000000 (25 unique),mb=core_id out=0,"all [[-1,0,0,0]]"
/tmp/lx_relayout_three_way_profile_20260622_081800/stcdp_enabled/branch-baseline/inductor-cache/inductor-spyre/sdsc_fused_linear_mul_silu_split_with_sizes_0_u7fv9_a0/sdsc_1.json,1_batchmatmul,batchmatmul,32,0_Tensor0,INPUT,hbm+lx,"layout=in,mb; stick=in; stick_size=[64]",0x800000000..0x800300000 (4 unique),in=0 mb=0:3 (4 unique) out=0:7 (8 unique),"all [[-1,0,0,0]]"
/tmp/lx_relayout_three_way_profile_20260622_081800/stcdp_enabled/branch-baseline/inductor-cache/inductor-spyre/sdsc_fused_linear_mul_silu_split_with_sizes_0_u7fv9_a0/sdsc_1.json,1_batchmatmul,batchmatmul,32,1_Tensor1,KERNEL,hbm+lx,"layout=in,out; stick=out; stick_size=[64]",0x0..0xaf00000 (8 unique),in=0 mb=0:3 (4 unique) out=0:7 (8 unique),"all [[-1,0,0,0]]"
/tmp/lx_relayout_three_way_profile_20260622_081800/stcdp_enabled/branch-baseline/inductor-cache/inductor-spyre/sdsc_fused_linear_mul_silu_split_with_sizes_0_u7fv9_a0/sdsc_1.json,1_batchmatmul,batchmatmul,32,2_Tensor2,OUTPUT,lx,"layout=out,mb; stick=out; stick_size=[64]",0x0,in=0 mb=0:3 (4 unique) out=0:7 (8 unique),"all [[-1,0,0,0]]"
/tmp/lx_relayout_three_way_profile_20260622_081800/stcdp_enabled/branch-baseline/inductor-cache/inductor-spyre/sdsc_fused_linear_mul_silu_split_with_sizes_0_u7fv9_a0/sdsc_2.json,2_LXRelayoutSTCDPOpLx,STCDPOpLx,32,dataop_0,MOVE,lx->lx,coverage=; ranges=0; movements=0; bytes=0; coalesced=,,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31]","4 schedules; core 0 [[0,-1,0,1],[1,-1,1,1],[2,-1,1,1],[-1,0,1,0]]"
/tmp/lx_relayout_three_way_profile_20260622_081800/stcdp_enabled/branch-baseline/inductor-cache/inductor-spyre/sdsc_fused_linear_mul_silu_split_with_sizes_0_u7fv9_a0/sdsc_2.json,2_LXRelayoutSTCDPOpLx,STCDPOpLx,6,dataop_1,MOVE,lx->lx,coverage=; ranges=0; movements=0; bytes=0; coalesced=,,"[0,1,4,5,9,10]","4 schedules; core 0 [[0,-1,0,1],[1,-1,1,1],[2,-1,1,1],[-1,0,1,0]]"
/tmp/lx_relayout_three_way_profile_20260622_081800/stcdp_enabled/branch-baseline/inductor-cache/inductor-spyre/sdsc_fused_linear_mul_silu_split_with_sizes_0_u7fv9_a0/sdsc_2.json,2_LXRelayoutSTCDPOpLx,STCDPOpLx,6,dataop_2,MOVE,lx->lx,coverage=; ranges=0; movements=0; bytes=0; coalesced=,,"[0,1,4,5,9,10]","4 schedules; core 0 [[0,-1,0,1],[1,-1,1,1],[2,-1,1,1],[-1,0,1,0]]"
/tmp/lx_relayout_three_way_profile_20260622_081800/stcdp_enabled/branch-baseline/inductor-cache/inductor-spyre/sdsc_fused_linear_mul_silu_split_with_sizes_0_u7fv9_a0/sdsc_2.json,2_LXRelayoutSTCDPOpLx,STCDPOpLx,4,dataop_3,MOVE,lx->lx,coverage=; ranges=0; movements=0; bytes=0; coalesced=,,"[9,10,13,14]","4 schedules; core 0 [[0,-1,0,1],[1,-1,1,1],[2,-1,1,1],[-1,0,1,0]]"
/tmp/lx_relayout_three_way_profile_20260622_081800/stcdp_enabled/branch-baseline/inductor-cache/inductor-spyre/sdsc_fused_linear_mul_silu_split_with_sizes_0_u7fv9_a0/sdsc_2.json,2_LXRelayoutSTCDPOpLx,STCDPOpLx,4,dataop_4,MOVE,lx->lx,coverage=; ranges=0; movements=0; bytes=0; coalesced=,,"[9,10,13,14]","4 schedules; core 0 [[0,-1,0,1],[1,-1,1,1],[2,-1,1,1],[-1,0,1,0]]"
