name	type	mtime_utc
build_dxp_clean.log	f	2026-07-25T20:38:11.1203339450Z
build_dxp_diag.log	f	2026-07-25T20:03:55.7618341160Z
build_dxp_diag2.log	f	2026-07-25T20:06:04.1668709230Z
build_dxp_fix1.log	f	2026-07-25T20:10:09.9678082470Z
build_dxp_fix1_retry.log	f	2026-07-25T20:32:18.7037215690Z
build_dxp_fix2.log	f	2026-07-25T20:35:33.2139778370Z
compact_gqa_bmm_probe_20260725_a	d	2026-07-26T01:22:32.1859830000Z
full40_p01_p06_exact_5x_20260725_a	d	2026-07-26T05:52:26.4783480000Z
full40_prefill_edge1_baseline_5x_20260725_a	d	2026-07-26T00:30:57.5818880000Z
full40_prefill_edge1_oracle_5x_20260725_a	d	2026-07-26T00:38:05.7065460000Z
full40_prefill_edges1_2_5x_20260725_a	d	2026-07-26T01:54:24.8639580000Z
full40_prefill_edges_p01_p04_5x_20260725_a	d	2026-07-26T01:53:45.6437300000Z
full40_prefill_edges_p01_p06_5x_20260725_a	d	2026-07-26T02:26:07.0354440000Z
full40_prefill_edges_p01_p06_corrected_20260725_b	d	2026-07-26T02:32:59.7117670000Z
full40_prefill_edges_p01_p06_rankguard_correctness_20260725_a	d	2026-07-26T02:47:50.1059810000Z
full40_prefill_p06_workdiv_no_a2a_20260725_a	d	2026-07-26T02:35:22.2143550000Z
full40_select_allgather_20260725_a	d	2026-07-26T00:24:56.4088290000Z
full40_shuffle_on_20260725_a	d	2026-07-25T21:04:20.3716460000Z
full40_shuffle_on_20260725_b	d	2026-07-25T21:06:13.5675240000Z
full40_shuffle_on_20260725_c	d	2026-07-25T21:27:38.4700110000Z
full40_shuffle_on_20260725_d	d	2026-07-25T21:36:17.3360110000Z
install_dxp_clean.log	f	2026-07-25T20:38:15.5715320000Z
one_layer_logits_p01_p04_20260725_a	d	2026-07-26T02:51:20.4825150000Z
one_layer_logits_p01_p06_20260725_a	d	2026-07-26T02:53:27.9149250000Z
one_layer_logits_p06_buf11_no_a2a_20260725_a	d	2026-07-26T02:58:46.3753290000Z
one_layer_logits_p06_buf13_no_a2a_20260725_a	d	2026-07-26T03:12:32.3202990000Z
one_layer_logits_p06_buf14_no_a2a_20260725_a	d	2026-07-26T03:04:53.3334830000Z
one_layer_logits_p06_buf14_no_input_pinning_20260725_a	d	2026-07-26T05:11:58.1616560000Z
one_layer_logits_p06_buf14_no_input_pinning_20260725_b	d	2026-07-26T05:12:40.0601330000Z
one_layer_logits_p06_buf14_no_input_pinning_20260725_c	d	2026-07-26T05:13:35.0445960000Z
one_layer_logits_p06_buf14_no_input_pinning_20260725_d	d	2026-07-26T05:17:09.0086920000Z
one_layer_logits_p06_buf14_no_input_pinning_20260725_e	d	2026-07-26T05:19:30.0896000000Z
one_layer_logits_p06_buf14_tokenfast_no_a2a_20260725_a	d	2026-07-26T03:08:51.4185930000Z
one_layer_logits_p06_buf14_transport_axis_bridge_headfast_20260725_a	d	2026-07-26T03:33:23.7072610000Z
one_layer_logits_p06_buf14_transport_axis_bridge_tokenfast_20260725_a	d	2026-07-26T03:36:06.0645520000Z
one_layer_logits_p06_buf14_transport_no_axis_bridge_20260725_a	d	2026-07-26T03:32:01.2595630000Z
one_layer_logits_p06_buf14_workdiv_transport_denied_20260725_a	d	2026-07-26T03:28:40.4623410000Z
one_layer_logits_p06_direct_copy_nop_20260725_a	d	2026-07-26T04:40:57.1533420000Z
one_layer_logits_p06_direct_copy_nop_20260725_b	d	2026-07-26T04:49:20.6935180000Z
one_layer_logits_p06_empty_buf14_denied_20260725_a	d	2026-07-26T03:25:58.9652660000Z
one_layer_logits_p06_empty_no_a2a_20260725_a	d	2026-07-26T03:15:50.4728130000Z
one_layer_logits_p06_empty_no_bridge_20260725_a	d	2026-07-26T03:18:38.7984160000Z
one_layer_logits_p06_no_alltoall_20260725_a	d	2026-07-26T02:55:43.5146020000Z
one_layer_logits_p06_noopt_20260725_a	d	2026-07-26T04:17:02.8525810000Z
one_layer_logits_p06_noopt_20260725_b	d	2026-07-26T04:18:53.0216760000Z
one_layer_logits_p06_noopt_20260725_c	d	2026-07-26T04:22:23.2630450000Z
one_layer_p01_p04_exact_5x_20260725_a	d	2026-07-26T05:46:36.2848840000Z
one_layer_p01_p06_exact_5x_20260725_a	d	2026-07-26T05:48:28.3264010000Z
one_layer_p06_allocation_dump_denied_buf14_20260725_a	d	2026-07-26T05:26:34.3938930000Z
one_layer_p06_allocation_dump_success_20260725_a	d	2026-07-26T05:24:28.4433070000Z
one_layer_p06_both_relayouts_spill_buf20_20260725_a	d	2026-07-26T05:44:10.2216920000Z
one_layer_p06_denied_buf14_buf66_20260725_a	d	2026-07-26T05:32:22.9792810000Z
one_layer_p06_firstfit_largest_tie_20260725_a	d	2026-07-26T05:36:50.2761910000Z
one_layer_p06_qk_output_alias_k_20260725_a	d	2026-07-26T05:56:36.2451720000Z
one_layer_p06_qk_output_alias_q_20260725_a	d	2026-07-26T06:01:25.8993520000Z
one_layer_plan_dump_20260725_a	d	2026-07-25T23:35:06.2951770000Z
one_layer_plan_dump_20260725_b	d	2026-07-25T23:35:33.5814520000Z
one_layer_plan_dump_20260725_c	d	2026-07-25T23:41:17.9929420000Z
one_layer_plan_dump_20260725_d	d	2026-07-25T23:43:58.6493120000Z
one_layer_prefill_compact_gqa_decomp_probe_20260725_a	d	2026-07-26T01:17:22.1072350000Z
one_layer_prefill_compact_gqa_decomp_probe_20260725_b	d	2026-07-26T01:20:34.4475450000Z
one_layer_prefill_compact_gqa_decomp_probe_20260725_c	d	2026-07-26T01:30:43.6049900000Z
one_layer_prefill_compact_gqa_exact_geometry_20260725_a	d	2026-07-26T01:34:27.3035580000Z
one_layer_prefill_compact_gqa_exact_geometry_20260725_b	d	2026-07-26T01:44:51.9165090000Z
one_layer_prefill_compact_gqa_frontend_probe_20260725_a	d	2026-07-26T01:13:37.8397230000Z
one_layer_prefill_edge1_baseline_10x_20260725_a	d	2026-07-26T00:19:02.4620310000Z
one_layer_prefill_edge1_oracle_10x_20260725_a	d	2026-07-26T00:23:31.9556640000Z
one_layer_prefill_edges1_2_10x_20260725_a	d	2026-07-26T00:55:36.0908290000Z
one_layer_prefill_edges1_2_proof_20260725_a	d	2026-07-26T00:45:39.1954170000Z
one_layer_prefill_edges1_2_proof_20260725_b	d	2026-07-26T00:50:02.4277280000Z
one_layer_prefill_edges_p01_p06_20260725_a	d	2026-07-26T02:06:00.1333490000Z
one_layer_prefill_edges_p01_p06_20260725_b	d	2026-07-26T02:24:43.3769870000Z
one_layer_prefill_edges_p01_p06_20260725_c	d	2026-07-26T02:30:12.0209990000Z
one_layer_prefill_edges_p01_p06_rankguard_20260725_a	d	2026-07-26T02:44:52.8746240000Z
one_layer_prefill_output_proj_oracle_20260725_a	d	2026-07-25T23:49:52.4928620000Z
one_layer_prefill_output_proj_oracle_20260725_b	d	2026-07-26T00:00:19.4743940000Z
one_layer_prefill_output_proj_oracle_20260725_c	d	2026-07-26T00:06:17.1819290000Z
one_layer_prefill_p02_v_av_backgap_fix_20260726_d	d	2026-07-26T08:39:56.7796370000Z
one_layer_prefill_p02_v_av_isolated_20260726_a	d	2026-07-26T07:28:37.8871650000Z
one_layer_prefill_p02_v_av_isolated_20260726_b	d	2026-07-26T07:34:42.7862410000Z
one_layer_prefill_p02_v_av_output_clone_20260726_c	d	2026-07-26T07:52:54.3636020000Z
one_layer_prefill_p02_v_av_reinterpret_fix_20260726_e	d	2026-07-26T08:47:31.7271190000Z
one_layer_prefill_p02_v_av_reinterpret_kw_fix_20260726_f	d	2026-07-26T08:54:23.8451970000Z
one_layer_qk_head_owned_20260726_a	d	2026-07-26T06:47:12.5874150000Z
one_layer_qk_head_owned_20260726_b	d	2026-07-26T06:50:39.6944940000Z
one_layer_qk_head_owned_k_only_no_score_shuffle_20260726_f	d	2026-07-26T07:13:29.7361700000Z
one_layer_qk_head_owned_no_qk_or_score_shuffle_20260726_d	d	2026-07-26T07:09:06.4192460000Z
one_layer_qk_head_owned_no_score_shuffle_20260726_c	d	2026-07-26T06:58:17.3564460000Z
one_layer_qk_head_owned_q_only_no_score_shuffle_20260726_e	d	2026-07-26T07:11:11.1683810000Z
one_layer_select_allgather_20260725_a	d	2026-07-25T21:51:51.3085750000Z
one_layer_select_alltoall_20260725_a	d	2026-07-25T21:48:10.1370500000Z
one_layer_shuffle_off_20260725_a	d	2026-07-25T19:27:33.8207710000Z
one_layer_shuffle_off_20260725_b	d	2026-07-25T19:29:31.1824840000Z
one_layer_shuffle_off_20260725_c	d	2026-07-25T19:30:28.1484390000Z
one_layer_shuffle_off_20260725_d	d	2026-07-25T19:31:44.1162360000Z
one_layer_shuffle_on_20260725_a	d	2026-07-25T20:38:29.5672230000Z
one_layer_shuffle_on_20260725_b	d	2026-07-25T20:41:00.2365350000Z
one_layer_shuffle_on_20260725_c	d	2026-07-25T20:42:32.8657440000Z
one_layer_volume_gate_1mb_20260725_a	d	2026-07-25T22:00:23.3318250000Z
p06_debug_rebuild.log	f	2026-07-26T03:50:25.2693147320Z
p06_direct_copy_nop_build_20260725_a.log	f	2026-07-26T04:37:33.5797487430Z
p06_direct_copy_nop_build_20260725_b.log	f	2026-07-26T04:46:36.5531424210Z
p06_direct_copy_nop_install_20260725_a.log	f	2026-07-26T04:37:40.9533070000Z
p06_direct_copy_nop_install_20260725_b.log	f	2026-07-26T04:46:47.9413680000Z
p06_direct_copy_nop_offline_compile_20260725_c.log	f	2026-07-26T04:47:11.7705810840Z
p06_final_stcdp_rebuild.log	f	2026-07-26T04:10:28.5091985350Z
p06_noopt_install.log	f	2026-07-26T04:14:40.1446630000Z
p06_noopt_rebuild.log	f	2026-07-26T04:12:48.1273796250Z
p06_ramp_direct_bmm_20260725_a	d	2026-07-26T04:31:29.5922970000Z
p06_ramp_probe_20260725_a	d	2026-07-26T04:25:37.7565710000Z
p06_ramp_probe_20260725_b	d	2026-07-26T04:26:26.5299740000Z
p06_ramp_probe_20260725_c	d	2026-07-26T04:28:02.6389500000Z
p06_reference_offline_recompile_20260725_a.log	f	2026-07-26T04:59:13.6907833970Z
p06_sdsc20_minibundle_20260725_a	d	2026-07-26T03:49:06.7592040000Z
p06_sdsc20_noopt_compile_20260725_a	d	2026-07-26T04:13:16.7843690000Z
p06_sdsc20_prefixbundle_20260725_a	d	2026-07-26T03:49:25.0921560000Z
p06_sdsc20_relayout_debug_20260725_a	d	2026-07-26T03:48:32.0035630000Z
p06_sdsc20_relayout_debug_20260725_b	d	2026-07-26T03:49:06.7924140000Z
p06_sdsc20_relayout_debug_20260725_c	d	2026-07-26T03:49:25.1109340000Z
p06_sdsc20_relayout_debug_20260725_d	d	2026-07-26T03:50:40.4726100000Z
p06_sdsc20_stcdp_diag_20260725_a	d	2026-07-26T03:53:45.2538700000Z
p06_sdsc20_stcdp_diag_20260725_b	d	2026-07-26T04:10:58.1618980000Z
