patch	source_host	source_worktree	base_commit	files	insertions
torch-spyre/p03.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p03/torch-spyre	59545440	7	1082
torch-spyre/p05_base.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p05/torch-spyre	59545440	7	1119
torch-spyre/p05_owner_map.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p05_owner_map/torch-spyre	59545440	7	1442
torch-spyre/p05_sparse_owners.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p05_sparse_owners/torch-spyre	59545440	9	1579
torch-spyre/p05_p06_integration.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p05_p06_integration/torch-spyre	59545440	7	1466
torch-spyre/p05_p06_timing.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p06_p05_timing_20260727/torch-spyre	59545440	7	1464
torch-spyre/p06_attention_probe.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p06_attention/torch-spyre	59545440	1	5
torch-spyre/p06_completion_p08_bridge_BEST.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p06_completion/torch-spyre	59545440	7	1565
torch-spyre/p07_shared_pvc.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p07/torch-spyre	59545440	7	291
torch-spyre/p07_p09_cdx_lane.patch	adnan-cdx-spyre-dev-pf	/home/adnan-cdx/codex-isolated/p07_p09_completion_20260726/torch-spyre-p07p09	59545440	7	564
torch-spyre/p07_p09_cdx_base.patch	adnan-cdx-spyre-dev-pf	/home/adnan-cdx/codex-isolated/p07_p09_completion_20260726/torch-spyre	59545440	4	100
torch-spyre/p08_p10_p11.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p08_p10_p11_completion/torch-spyre	59545440	7	1625
torch-spyre/p05_p10_p11_integrated.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p08_p10_p11_completion/p05_p10p11_integrated	59545440	9	1667
torch-spyre/p05_p08_combined.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p05_p08_combined/torch-spyre	59545440	9	1766
torch-spyre/p09.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p09/torch-spyre	59545440	4	100
torch-spyre/p12.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p12/torch-spyre	59545440	7	1057
torch-spyre/p13.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p13/torch-spyre	59545440	7	1033
torch-spyre/p13_clean.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p13_clean_20260726/torch-spyre	59545440	6	204
torch-spyre/p14.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p14/torch-spyre	59545440	7	1437
torch-spyre/p14_hunk_minimal.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/p14_minimal_20260726/torch-spyre	59545440	7	643
torch-spyre/final_prefill_integration.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/final_prefill_integration_20260727/torch-spyre	59545440	7	1494
torch-spyre/mac_checkout_snapshot.patch	mac	/Users/adnan/Documents/Codex/2026-07-26/using-torch-spyre-pr-2939-shuffle-3/work/torch-spyre-granite-relayout	59545440	9	750
foundation-model-stack/prefill_only_decode_only_modes.patch	shared-pvc	/home/adnan/codex-isolated/device_parity_tracks_20260726/prefill_edges_unmodified_decode_20260726/foundation-model-stack	61bc991b	5	102
